Gss year for this respondent                       ,Respondent id number,Respondents sex,"Region of residence, age 16",Total family income,General happiness,Happiness of marriage
1975,1465,Female,E. nor. central,$25000 or more,Very happy,Very happy
1975,1466,Female,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1975,1467,Female,E. nor. central,$4000 to 4999,Pretty happy,Not applicable
1975,1468,Male,E. nor. central,$1000 to 2999,Not too happy,Not applicable
1975,1469,Male,E. nor. central,$15000 - 19999,Pretty happy,Not applicable
1975,1470,Female,E. nor. central,Don't know,Very happy,Pretty happy
1975,1471,Female,E. nor. central,$1000 to 2999,Pretty happy,Not applicable
1975,1472,Female,E. nor. central,$15000 - 19999,Very happy,Very happy
1975,1473,Male,E. nor. central,$10000 - 14999,Very happy,Very happy
1975,1474,Male,E. nor. central,$1000 to 2999,Not too happy,Not applicable
1975,1475,Male,E. nor. central,$3000 to 3999,Pretty happy,Not applicable
1975,1476,Female,South atlantic,$5000 to 5999,Pretty happy,Not applicable
1975,1477,Male,South atlantic,$10000 - 14999,Pretty happy,Not applicable
1975,1478,Female,South atlantic,$1000 to 2999,Very happy,Not applicable
1975,1479,Female,South atlantic,Don't know,Pretty happy,Pretty happy
1975,1480,Male,E. nor. central,$6000 to 6999,Pretty happy,Very happy
1975,1481,Female,Middle atlantic,$4000 to 4999,Not too happy,Not applicable
1975,1482,Male,Middle atlantic,$1000 to 2999,Pretty happy,Not applicable
1975,1483,Male,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1975,1484,Male,Middle atlantic,$15000 - 19999,Very happy,Very happy
1975,1485,Female,Middle atlantic,$6000 to 6999,Not too happy,Pretty happy
1975,1486,Male,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1975,1487,Female,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1975,1488,Male,Middle atlantic,$15000 - 19999,Very happy,Very happy
1975,1489,Male,Middle atlantic,$15000 - 19999,Very happy,Very happy
1975,1490,Female,Middle atlantic,$8000 to 9999,Pretty happy,Very happy
1975,1491,Female,E. sou. central,Lt $1000,Pretty happy,Not applicable
1975,1492,Male,E. sou. central,$3000 to 3999,Pretty happy,Pretty happy
1975,1493,Male,W. nor. central,Don't know,Pretty happy,Not applicable
1975,1494,Male,E. sou. central,$6000 to 6999,Pretty happy,Pretty happy
1975,1495,Female,W. nor. central,Don't know,Pretty happy,Not applicable
1975,1496,Female,E. sou. central,Refused,Very happy,Not applicable
1975,1497,Female,E. sou. central,Lt $1000,Pretty happy,Not applicable
1975,1498,Male,South atlantic,$6000 to 6999,Pretty happy,Not applicable
1975,1499,Female,South atlantic,$1000 to 2999,Pretty happy,Not applicable
1975,1500,Male,South atlantic,$4000 to 4999,Not too happy,Not applicable
1975,1501,Female,South atlantic,$10000 - 14999,Very happy,Very happy
1975,1502,Female,South atlantic,$15000 - 19999,Very happy,Very happy
1975,1503,Male,South atlantic,$10000 - 14999,Very happy,Very happy
1975,1504,Male,South atlantic,$20000 - 24999,Very happy,Very happy
1975,1505,Male,South atlantic,$10000 - 14999,Pretty happy,Very happy
1975,1506,Male,W. sou. central,$3000 to 3999,Very happy,Pretty happy
1975,1507,Male,W. sou. central,$3000 to 3999,Not too happy,Not applicable
1975,1508,Female,W. sou. central,$3000 to 3999,Pretty happy,Very happy
1975,1509,Female,W. sou. central,$8000 to 9999,Pretty happy,Pretty happy
1975,1510,Male,W. sou. central,$15000 - 19999,Not too happy,Not applicable
1975,1511,Female,South atlantic,Lt $1000,Pretty happy,Not applicable
1975,1512,Female,Middle atlantic,$5000 to 5999,Pretty happy,Not applicable
1975,1513,Female,E. sou. central,Don't know,Pretty happy,Not applicable
1975,1514,Male,South atlantic,$3000 to 3999,Pretty happy,Not applicable
1975,1515,Male,E. sou. central,$1000 to 2999,Pretty happy,Not applicable
1975,1516,Female,South atlantic,$10000 - 14999,Very happy,Very happy
1975,1517,Male,South atlantic,$15000 - 19999,Pretty happy,Pretty happy
1975,1518,Female,South atlantic,$3000 to 3999,Pretty happy,Pretty happy
1975,1519,Female,South atlantic,$8000 to 9999,Pretty happy,Very happy
1975,1520,Male,South atlantic,Don't know,Pretty happy,Not applicable
1975,1521,Female,E. nor. central,$25000 or more,Very happy,Very happy
1975,1522,Male,E. nor. central,$20000 - 24999,Pretty happy,Very happy
1975,1523,Female,E. nor. central,$10000 - 14999,Very happy,Very happy
1975,1524,Female,E. nor. central,$20000 - 24999,Very happy,Very happy
1975,1525,Male,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1975,1526,Female,South atlantic,$1000 to 2999,Not too happy,Not applicable
1975,1527,Female,South atlantic,$6000 to 6999,Pretty happy,Not applicable
1975,1528,Male,South atlantic,$1000 to 2999,Pretty happy,Not applicable
1975,1529,Female,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1975,1530,Male,South atlantic,$1000 to 2999,Pretty happy,Not applicable
1975,1531,Female,Pacific,$6000 to 6999,Not too happy,Not too happy
1975,1532,Male,Pacific,$6000 to 6999,Pretty happy,Very happy
1975,1533,Male,Pacific,$8000 to 9999,Pretty happy,Pretty happy
1975,1534,Female,Pacific,$8000 to 9999,Pretty happy,Very happy
1975,1535,Female,Pacific,$10000 - 14999,Pretty happy,Very happy
1975,1536,Female,South atlantic,$10000 - 14999,Pretty happy,Not too happy
1975,1537,Male,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1975,1538,Male,South atlantic,$7000 to 7999,Pretty happy,Pretty happy
1975,1539,Male,South atlantic,$8000 to 9999,Pretty happy,Very happy
1975,1540,Female,South atlantic,$5000 to 5999,Pretty happy,Pretty happy
1975,1541,Male,South atlantic,$10000 - 14999,Pretty happy,Very happy
1975,1542,Female,South atlantic,$3000 to 3999,Very happy,Very happy
1975,1543,Male,Pacific,$15000 - 19999,Very happy,Very happy
1975,1544,Female,South atlantic,$8000 to 9999,Very happy,Very happy
1975,1545,Female,South atlantic,$8000 to 9999,Pretty happy,Very happy
1975,1546,Male,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1975,1547,Female,South atlantic,$1000 to 2999,Very happy,Not applicable
1975,1548,Female,South atlantic,$5000 to 5999,Very happy,Pretty happy
1975,1549,Female,South atlantic,$8000 to 9999,Pretty happy,Very happy
1975,1550,Male,South atlantic,$1000 to 2999,Very happy,Pretty happy
1975,1551,Female,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1975,1552,Female,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1975,1553,Male,Middle atlantic,$10000 - 14999,Very happy,Very happy
1975,1554,Male,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1975,1555,Male,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1975,1556,Female,Middle atlantic,$15000 - 19999,Pretty happy,Pretty happy
1975,1557,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1975,1558,Male,Middle atlantic,$7000 to 7999,Very happy,Very happy
1975,1559,Female,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1975,1560,Male,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1975,1561,Male,E. sou. central,$1000 to 2999,Very happy,Not applicable
1975,1562,Female,E. sou. central,$1000 to 2999,Pretty happy,Very happy
1975,1563,Female,E. sou. central,$5000 to 5999,Very happy,Very happy
1975,1564,Male,E. sou. central,$10000 - 14999,Very happy,Very happy
1975,1565,Female,E. sou. central,Lt $1000,Pretty happy,Not applicable
1975,1566,Female,South atlantic,Lt $1000,Very happy,Very happy
1975,1567,Female,South atlantic,$10000 - 14999,Pretty happy,Very happy
1975,1568,Female,South atlantic,$25000 or more,Very happy,Very happy
1975,1569,Male,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1975,1570,Male,South atlantic,$8000 to 9999,Very happy,Very happy
1975,1571,Male,Middle atlantic,$5000 to 5999,Pretty happy,Pretty happy
1975,1572,Female,Middle atlantic,$10000 - 14999,Not too happy,Not applicable
1975,1573,Male,Middle atlantic,$5000 to 5999,Pretty happy,Very happy
1975,1574,Female,Middle atlantic,$7000 to 7999,Very happy,Very happy
1975,1575,Female,Middle atlantic,Lt $1000,Very happy,Not applicable
1975,1576,Female,South atlantic,$8000 to 9999,Very happy,Very happy
1975,1577,Male,South atlantic,$6000 to 6999,Not too happy,Not applicable
1975,1578,Female,South atlantic,$8000 to 9999,Very happy,Pretty happy
1975,1579,Male,South atlantic,$7000 to 7999,Pretty happy,No answer
1975,1580,Male,South atlantic,$25000 or more,Very happy,No answer
1975,1581,Male,E. nor. central,$5000 to 5999,Very happy,Very happy
1975,1582,Female,E. nor. central,$8000 to 9999,Very happy,Very happy
1975,1583,Female,W. nor. central,$6000 to 6999,Not too happy,Very happy
1975,1584,Male,W. nor. central,$10000 - 14999,Pretty happy,Very happy
1975,1585,Male,E. nor. central,Refused,Pretty happy,Not applicable
1975,1586,Female,South atlantic,$10000 - 14999,Not too happy,Not applicable
1975,1587,Female,South atlantic,$3000 to 3999,Pretty happy,Not applicable
1975,1588,Male,South atlantic,$15000 - 19999,Pretty happy,Very happy
1975,1589,Male,W. nor. central,$15000 - 19999,Pretty happy,Very happy
1975,1590,Male,South atlantic,Lt $1000,Not too happy,Not applicable
1975,1591,Female,Pacific,$10000 - 14999,Pretty happy,Very happy
1975,1592,Male,E. nor. central,$5000 to 5999,Very happy,Very happy
1975,1593,Female,Pacific,$10000 - 14999,Very happy,Very happy
1975,1594,Male,Pacific,$15000 - 19999,Very happy,Very happy
1975,1595,Female,Pacific,$20000 - 24999,Not too happy,Pretty happy
1975,1596,Female,Middle atlantic,$15000 - 19999,Pretty happy,Very happy
1975,1597,Male,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1975,1598,Male,Middle atlantic,$8000 to 9999,Very happy,Very happy
1975,1599,Female,Middle atlantic,$10000 - 14999,Very happy,Pretty happy
1975,1600,Male,Middle atlantic,$25000 or more,Not too happy,Not applicable
1975,1601,Female,E. sou. central,$8000 to 9999,Pretty happy,Very happy
1975,1602,Male,E. sou. central,$1000 to 2999,Pretty happy,Pretty happy
1975,1603,Female,E. sou. central,$5000 to 5999,Pretty happy,Pretty happy
1975,1604,Male,E. sou. central,Don't know,Very happy,Very happy
1975,1605,Female,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1975,1606,Female,Middle atlantic,$1000 to 2999,Very happy,Not applicable
1975,1607,Female,Middle atlantic,$8000 to 9999,Pretty happy,Not applicable
1975,1608,Male,Foreign,$10000 - 14999,Pretty happy,Not applicable
1975,1609,Female,Middle atlantic,$10000 - 14999,Very happy,Not applicable
1975,1610,Male,Middle atlantic,$10000 - 14999,Not too happy,Very happy
1975,1611,Male,South atlantic,$15000 - 19999,Pretty happy,Pretty happy
1975,1612,Male,South atlantic,$3000 to 3999,Pretty happy,Very happy
1975,1613,Male,South atlantic,Lt $1000,Pretty happy,Not applicable
1975,1614,Female,South atlantic,$6000 to 6999,Not too happy,Not applicable
1975,1615,Female,South atlantic,Lt $1000,Not too happy,Very happy
1975,1616,Female,South atlantic,Refused,Very happy,Not applicable
1975,1617,Female,South atlantic,$20000 - 24999,Not too happy,Very happy
1975,1618,Female,Foreign,$10000 - 14999,Very happy,Very happy
1975,1619,Male,South atlantic,$8000 to 9999,Pretty happy,Very happy
1975,1620,Male,South atlantic,$6000 to 6999,Pretty happy,Pretty happy
1975,1621,Female,Mountain,Refused,Pretty happy,Not applicable
1975,1622,Male,E. nor. central,$10000 - 14999,Very happy,Very happy
1975,1623,Female,E. nor. central,$15000 - 19999,Pretty happy,Pretty happy
1975,1624,Male,E. nor. central,$15000 - 19999,Pretty happy,Very happy
1975,1625,Male,E. nor. central,Refused,Very happy,Not applicable
1975,1626,Male,South atlantic,$15000 - 19999,Very happy,Not applicable
1975,1627,Male,South atlantic,$15000 - 19999,Very happy,Very happy
1975,1628,Female,E. nor. central,$1000 to 2999,Pretty happy,Pretty happy
1975,1629,Male,E. sou. central,$15000 - 19999,Very happy,Very happy
1975,1630,Female,South atlantic,$25000 or more,Very happy,Very happy
1975,1631,Male,W. sou. central,$3000 to 3999,Not too happy,Very happy
1975,1632,Female,W. sou. central,$10000 - 14999,Pretty happy,Pretty happy
1975,1633,Female,W. sou. central,$6000 to 6999,Very happy,Very happy
1975,1634,Male,W. sou. central,$1000 to 2999,Very happy,Very happy
1975,1635,Female,W. sou. central,$8000 to 9999,Very happy,Very happy
1975,1636,Female,W. sou. central,$10000 - 14999,Pretty happy,Pretty happy
1975,1637,Female,W. sou. central,$3000 to 3999,Pretty happy,Pretty happy
1975,1638,Female,W. sou. central,$4000 to 4999,Pretty happy,Pretty happy
1975,1639,Male,W. sou. central,$7000 to 7999,Pretty happy,Very happy
1975,1640,Male,W. sou. central,$6000 to 6999,Pretty happy,Pretty happy
1975,1641,Female,W. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1975,1642,Male,W. nor. central,$25000 or more,Very happy,Very happy
1975,1643,Male,W. nor. central,$10000 - 14999,Very happy,Pretty happy
1975,1644,Female,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1975,1645,Male,W. nor. central,$25000 or more,Pretty happy,Not applicable
1975,1646,Male,E. nor. central,Refused,Very happy,Very happy
1975,1647,Male,New england,$25000 or more,Very happy,Not applicable
1975,1648,Female,Foreign,$25000 or more,Pretty happy,Not applicable
1975,1649,Female,South atlantic,$25000 or more,Not too happy,Very happy
1975,1650,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1975,1651,Female,Middle atlantic,$5000 to 5999,Pretty happy,Not applicable
1975,1652,Female,E. nor. central,$20000 - 24999,Not too happy,Not too happy
1975,1653,Female,Middle atlantic,$6000 to 6999,Pretty happy,Not applicable
1975,1654,Male,Middle atlantic,Refused,Not too happy,Not applicable
1975,1655,Male,Middle atlantic,$6000 to 6999,Not too happy,Not applicable
1975,1656,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1975,1657,Female,New england,$15000 - 19999,Very happy,Very happy
1975,1658,Female,New england,$20000 - 24999,Pretty happy,Very happy
1975,1659,Male,New england,$10000 - 14999,Pretty happy,Very happy
1975,1660,Male,New england,$15000 - 19999,Pretty happy,Pretty happy
1975,1661,Female,Foreign,$25000 or more,Pretty happy,Very happy
1975,1662,Female,Middle atlantic,$1000 to 2999,Pretty happy,Not applicable
1975,1663,Female,Middle atlantic,Refused,Pretty happy,Not applicable
1975,1664,Male,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1975,1665,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1975,1666,Male,South atlantic,$20000 - 24999,Very happy,Not applicable
1975,1667,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1975,1668,Male,Middle atlantic,$15000 - 19999,Pretty happy,Pretty happy
1975,1669,Female,Middle atlantic,$3000 to 3999,Pretty happy,Not applicable
1975,1670,Female,Middle atlantic,$6000 to 6999,Pretty happy,Pretty happy
1975,1671,Female,New england,$25000 or more,Very happy,Not applicable
1975,1672,Male,New england,$25000 or more,Not too happy,Not applicable
1975,1673,Male,New england,$25000 or more,Very happy,Very happy
1975,1674,Male,New england,$25000 or more,Very happy,Very happy
1975,1675,Female,E. nor. central,$25000 or more,Pretty happy,Very happy
1975,1676,Male,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1975,1677,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1975,1678,Female,Middle atlantic,$15000 - 19999,Pretty happy,Very happy
1975,1679,Male,Middle atlantic,$8000 to 9999,Not too happy,Pretty happy
1975,1680,Male,Foreign,$7000 to 7999,Pretty happy,Very happy
1975,1681,Female,Middle atlantic,$15000 - 19999,Pretty happy,Very happy
1975,1682,Female,Middle atlantic,$6000 to 6999,Not too happy,Pretty happy
1975,1683,Male,Middle atlantic,$4000 to 4999,Pretty happy,Pretty happy
1975,1684,Female,Middle atlantic,$4000 to 4999,Pretty happy,Not applicable
1975,1685,Male,Foreign,$5000 to 5999,Pretty happy,Very happy
1975,1686,Female,New england,$10000 - 14999,Very happy,Very happy
1975,1687,Male,New england,$20000 - 24999,Very happy,Very happy
1975,1688,Female,New england,$20000 - 24999,Pretty happy,Pretty happy
1975,1689,Female,New england,$5000 to 5999,Pretty happy,Very happy
1975,1690,Male,New england,$15000 - 19999,Very happy,Very happy
1975,1691,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1975,1692,Female,W. nor. central,$25000 or more,Pretty happy,Very happy
1975,1693,Female,Middle atlantic,$8000 to 9999,Very happy,Not applicable
1975,1694,Male,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1975,1695,Female,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1975,1696,Male,New england,$10000 - 14999,Pretty happy,Very happy
1975,1697,Female,W. nor. central,$6000 to 6999,Pretty happy,Not applicable
1975,1698,Female,New england,$10000 - 14999,Pretty happy,Pretty happy
1975,1699,Male,South atlantic,$15000 - 19999,Pretty happy,Very happy
1975,1700,Male,New england,$15000 - 19999,Pretty happy,Pretty happy
1975,1701,Female,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1975,1702,Male,Foreign,$5000 to 5999,Not too happy,Not applicable
1975,1703,Female,Foreign,$15000 - 19999,Pretty happy,Not too happy
1975,1704,Female,South atlantic,$20000 - 24999,Not too happy,Not applicable
1975,1705,Male,Foreign,$10000 - 14999,Pretty happy,Pretty happy
1975,1706,Male,Middle atlantic,Lt $1000,Pretty happy,Not applicable
1975,1707,Female,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1975,1708,Female,Middle atlantic,$1000 to 2999,Not too happy,Not applicable
1975,1709,Female,South atlantic,$7000 to 7999,Not too happy,Not applicable
1975,1710,Male,Middle atlantic,$7000 to 7999,Very happy,Not applicable
1975,1711,Male,Middle atlantic,$10000 - 14999,Very happy,Pretty happy
1975,1712,Female,Middle atlantic,$8000 to 9999,Very happy,Very happy
1975,1713,Female,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1975,1714,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1975,1715,Male,Middle atlantic,$8000 to 9999,Very happy,Not applicable
1975,1716,Male,Middle atlantic,$20000 - 24999,Pretty happy,Very happy
1975,1717,Male,Middle atlantic,$15000 - 19999,Pretty happy,Very happy
1975,1718,Female,Middle atlantic,$15000 - 19999,Pretty happy,Pretty happy
1975,1719,Female,Middle atlantic,$15000 - 19999,Pretty happy,Pretty happy
1975,1720,Male,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1975,1721,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1975,1722,Male,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1975,1723,Male,Middle atlantic,$20000 - 24999,Pretty happy,Very happy
1975,1724,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1975,1725,Female,W. nor. central,$20000 - 24999,Very happy,Very happy
1975,1726,Female,New england,$10000 - 14999,Pretty happy,Pretty happy
1975,1727,Female,New england,$8000 to 9999,Pretty happy,Pretty happy
1975,1728,Male,New england,$10000 - 14999,Pretty happy,Not applicable
1975,1729,Male,New england,$8000 to 9999,Pretty happy,Pretty happy
1975,1730,Male,Foreign,$4000 to 4999,Very happy,Pretty happy
1975,1731,Male,Foreign,$1000 to 2999,Not too happy,Not too happy
1975,1732,Female,Middle atlantic,$8000 to 9999,Not too happy,Not applicable
1975,1733,Female,Middle atlantic,$6000 to 6999,Pretty happy,Not applicable
1975,1734,Male,Foreign,$8000 to 9999,Very happy,Very happy
1975,1735,Female,Middle atlantic,No answer,Not too happy,Not applicable
1975,1736,Male,Middle atlantic,$3000 to 3999,Pretty happy,Very happy
1975,1737,Female,South atlantic,$8000 to 9999,Very happy,Very happy
1975,1738,Female,Middle atlantic,$5000 to 5999,Not too happy,Not applicable
1975,1739,Male,Middle atlantic,$4000 to 4999,Pretty happy,Pretty happy
1975,1740,Female,Middle atlantic,$1000 to 2999,Not too happy,Not applicable
1975,1741,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1975,1742,Male,Middle atlantic,$4000 to 4999,Very happy,Not applicable
1975,1743,Female,Middle atlantic,$5000 to 5999,Pretty happy,Not applicable
1975,1744,Male,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1975,1745,Male,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1975,1746,Female,Middle atlantic,$5000 to 5999,Not too happy,No answer
1975,1747,Female,Foreign,Don't know,Very happy,Not applicable
1975,1748,Male,New england,$7000 to 7999,Not too happy,Not applicable
1975,1749,Female,Foreign,$1000 to 2999,Pretty happy,Pretty happy
1975,1750,Male,New england,$3000 to 3999,Very happy,Very happy
1975,1751,Female,E. nor. central,$15000 - 19999,Pretty happy,Pretty happy
1975,1752,Male,E. nor. central,$7000 to 7999,Pretty happy,Not applicable
1975,1753,Female,E. nor. central,$3000 to 3999,Not too happy,Not applicable
1975,1754,Male,E. sou. central,$25000 or more,Very happy,Very happy
1975,1755,Male,E. nor. central,$25000 or more,Not too happy,Not too happy
1976,1,Female,New england,Refused,Very happy,Very happy
1976,2,Female,New england,$25000 or more,Pretty happy,Pretty happy
1976,3,Male,New england,$25000 or more,Very happy,Pretty happy
1976,4,Male,New england,$15000 - 19999,Very happy,Very happy
1976,5,Male,New england,$20000 - 24999,Very happy,Very happy
1976,6,Female,New england,Lt $1000,Very happy,Not applicable
1976,7,Male,New england,$7000 to 7999,Pretty happy,Very happy
1976,8,Male,New england,$10000 - 14999,Very happy,Very happy
1976,9,Female,New england,$10000 - 14999,Pretty happy,Pretty happy
1976,10,Male,New england,$25000 or more,Pretty happy,Not applicable
1976,11,Female,New england,$25000 or more,Pretty happy,Not applicable
1976,12,Female,Foreign,$10000 - 14999,Not too happy,Not applicable
1976,13,Female,New england,$20000 - 24999,Very happy,Very happy
1976,14,Male,New england,$15000 - 19999,Very happy,Very happy
1976,15,Female,New england,$10000 - 14999,Pretty happy,Pretty happy
1976,16,Male,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1976,17,Female,Foreign,$7000 to 7999,Pretty happy,Not applicable
1976,18,Male,Middle atlantic,$15000 - 19999,Pretty happy,Very happy
1976,19,Female,Middle atlantic,Refused,Not too happy,Pretty happy
1976,20,Female,Middle atlantic,$3000 to 3999,Not too happy,Not applicable
1976,21,Female,Middle atlantic,$1000 to 2999,Very happy,Not applicable
1976,22,Female,Middle atlantic,$4000 to 4999,Pretty happy,Not applicable
1976,23,Female,Foreign,$4000 to 4999,Pretty happy,Pretty happy
1976,24,Female,Foreign,$3000 to 3999,Pretty happy,Not applicable
1976,25,Female,Middle atlantic,$3000 to 3999,Not too happy,Not applicable
1976,26,Female,Foreign,$5000 to 5999,Pretty happy,Pretty happy
1976,27,Male,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1976,28,Female,Middle atlantic,$3000 to 3999,Very happy,Very happy
1976,29,Female,Middle atlantic,$15000 - 19999,Not too happy,Not applicable
1976,30,Male,Foreign,$6000 to 6999,Very happy,Very happy
1976,31,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1976,32,Female,Middle atlantic,$1000 to 2999,Very happy,Not applicable
1976,33,Female,Middle atlantic,$6000 to 6999,Pretty happy,Very happy
1976,34,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1976,35,Female,Middle atlantic,$6000 to 6999,Very happy,Very happy
1976,36,Male,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1976,37,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1976,38,Female,Middle atlantic,$5000 to 5999,Pretty happy,Very happy
1976,39,Male,Middle atlantic,$25000 or more,Very happy,Very happy
1976,40,Male,Middle atlantic,$5000 to 5999,Pretty happy,Not applicable
1976,41,Female,Middle atlantic,$4000 to 4999,Very happy,Very happy
1976,42,Female,Middle atlantic,$6000 to 6999,Pretty happy,Not applicable
1976,43,Female,Middle atlantic,$15000 - 19999,Pretty happy,Very happy
1976,44,Male,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1976,45,Female,Middle atlantic,Refused,Pretty happy,Not applicable
1976,46,Male,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1976,47,Female,Middle atlantic,$25000 or more,Not too happy,Pretty happy
1976,48,Male,Middle atlantic,$15000 - 19999,Very happy,Very happy
1976,49,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1976,50,Male,Middle atlantic,$10000 - 14999,Very happy,Very happy
1976,51,Female,E. nor. central,$20000 - 24999,Pretty happy,Pretty happy
1976,52,Female,E. sou. central,Lt $1000,Pretty happy,Not applicable
1976,53,Male,E. nor. central,$10000 - 14999,Not too happy,Not applicable
1976,54,Female,Middle atlantic,$4000 to 4999,Not too happy,Not applicable
1976,55,Female,E. nor. central,No answer,Very happy,Very happy
1976,56,Female,E. nor. central,$5000 to 5999,Pretty happy,Not applicable
1976,57,Male,E. nor. central,$5000 to 5999,Pretty happy,Pretty happy
1976,58,Female,E. nor. central,$25000 or more,Pretty happy,Pretty happy
1976,59,Male,Mountain,$15000 - 19999,Pretty happy,Very happy
1976,60,Female,E. nor. central,$8000 to 9999,Not too happy,Not too happy
1976,61,Female,Foreign,$8000 to 9999,Very happy,Pretty happy
1976,62,Male,E. nor. central,Refused,Pretty happy,Pretty happy
1976,63,Female,E. nor. central,$4000 to 4999,Very happy,Very happy
1976,64,Male,E. nor. central,$10000 - 14999,Very happy,Very happy
1976,65,Female,E. nor. central,$15000 - 19999,Pretty happy,Pretty happy
1976,66,Female,E. nor. central,$15000 - 19999,Very happy,Very happy
1976,67,Female,E. nor. central,$10000 - 14999,Very happy,Very happy
1976,68,Female,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1976,69,Male,E. nor. central,$10000 - 14999,Not too happy,Very happy
1976,70,Male,E. nor. central,$15000 - 19999,Very happy,Very happy
1976,71,Male,E. nor. central,$5000 to 5999,Pretty happy,Very happy
1976,72,Male,E. nor. central,$10000 - 14999,Not too happy,Not applicable
1976,73,Female,E. nor. central,$10000 - 14999,Very happy,Very happy
1976,74,Male,E. nor. central,$1000 to 2999,Very happy,Not applicable
1976,75,Female,E. nor. central,Lt $1000,Pretty happy,Not applicable
1976,76,Male,South atlantic,$5000 to 5999,Very happy,Pretty happy
1976,77,Male,E. nor. central,$5000 to 5999,Pretty happy,Very happy
1976,78,Male,W. nor. central,$5000 to 5999,Pretty happy,Pretty happy
1976,79,Male,W. nor. central,$1000 to 2999,Not too happy,Not applicable
1976,80,Female,W. nor. central,$5000 to 5999,Very happy,Very happy
1976,81,Female,W. nor. central,$15000 - 19999,Not too happy,Pretty happy
1976,82,Male,W. nor. central,$6000 to 6999,Pretty happy,Very happy
1976,83,Male,W. nor. central,Refused,Very happy,Very happy
1976,84,Female,W. nor. central,$15000 - 19999,Very happy,Not applicable
1976,85,Female,W. nor. central,$15000 - 19999,Pretty happy,Very happy
1976,86,Male,W. nor. central,$10000 - 14999,Pretty happy,Not applicable
1976,87,Male,W. nor. central,$8000 to 9999,Pretty happy,Very happy
1976,88,Male,W. nor. central,$6000 to 6999,Pretty happy,Not applicable
1976,89,Female,W. nor. central,$10000 - 14999,Pretty happy,Very happy
1976,90,Female,W. nor. central,$1000 to 2999,Pretty happy,Not applicable
1976,91,Female,South atlantic,$1000 to 2999,Pretty happy,Not applicable
1976,92,Female,South atlantic,$10000 - 14999,Pretty happy,Very happy
1976,93,Female,South atlantic,Refused,Pretty happy,Very happy
1976,94,Male,South atlantic,$1000 to 2999,Not too happy,Not applicable
1976,95,Female,South atlantic,$10000 - 14999,Pretty happy,Very happy
1976,96,Female,South atlantic,$1000 to 2999,Not too happy,Not applicable
1976,97,Male,South atlantic,$5000 to 5999,Pretty happy,Very happy
1976,98,Female,South atlantic,$1000 to 2999,Very happy,Very happy
1976,99,Female,South atlantic,$1000 to 2999,Not too happy,Not applicable
